,Q2A,Q4A,Q7A,Q9A,Q15A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q36A,Q40A,Q41A,Q42A,scores
0,4,4,4,2,4,3,3,1,4,4,4,4,4,4,3,4,2,4,3,4,4,73
1,1,3,3,3,3,1,1,2,3,1,2,2,3,3,4,3,3,3,1,2,2,49
2,1,1,1,2,4,2,1,4,3,2,4,2,1,2,1,2,2,4,2,1,4,46
3,3,1,4,3,2,1,2,1,1,1,1,1,2,4,1,3,3,1,4,4,2,45
4,2,4,4,4,4,4,4,3,3,4,2,4,4,2,4,2,4,4,4,4,3,73
5,1,1,1,3,2,1,2,1,1,1,2,1,1,1,1,3,2,2,1,1,2,31
6,1,3,3,3,3,1,3,4,1,3,3,2,2,1,2,2,3,2,2,2,3,49
7,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,28
8,4,4,4,4,4,4,4,3,4,4,3,2,4,2,4,4,3,4,4,4,4,77
9,2,1,3,4,2,4,4,4,3,1,4,3,4,4,4,4,3,4,4,3,4,69
10,1,1,1,1,2,1,1,1,1,1,3,1,1,3,1,3,2,1,1,1,2,30
11,3,2,1,4,1,4,3,2,4,1,2,3,3,2,2,3,3,3,3,1,2,52
12,1,1,1,1,1,4,2,3,2,1,2,1,3,3,1,3,3,2,2,3,2,42
13,4,2,1,2,1,1,1,1,3,2,3,1,1,2,3,3,3,4,4,2,3,47
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
15,1,2,1,2,1,1,1,2,2,2,2,1,3,3,1,1,1,1,3,1,3,35
16,1,2,1,4,1,1,3,1,3,1,2,1,4,4,3,4,3,3,4,1,3,50
17,1,1,1,2,1,2,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,28
18,2,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,4,29
19,2,1,1,3,1,2,4,3,1,1,3,1,3,3,1,1,2,1,1,1,4,40
20,1,1,1,2,1,2,1,1,3,1,1,1,3,2,1,2,1,1,2,1,2,31
21,1,1,1,2,2,1,1,2,3,1,4,1,2,4,1,3,1,1,2,1,3,38
22,2,4,4,2,2,2,4,4,4,2,3,3,4,3,3,4,3,4,3,3,3,66
23,2,2,1,3,1,1,3,2,2,1,2,1,3,2,3,4,2,3,3,1,4,46
24,3,1,2,3,2,3,1,2,2,2,2,2,4,2,3,2,2,2,1,1,3,45
25,1,2,3,2,2,2,4,4,4,2,4,4,4,4,4,4,4,2,3,4,4,67
26,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,82
27,2,2,4,3,3,4,4,1,3,1,4,3,2,4,3,2,1,2,2,2,1,53
28,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,81
29,1,1,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,25
30,2,1,1,2,1,1,4,2,3,2,4,3,3,3,3,2,2,2,3,1,2,47
31,2,1,1,2,1,3,2,4,1,2,3,1,4,1,1,3,1,1,3,1,4,42
32,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,28
33,1,1,2,3,1,2,1,1,2,1,2,2,3,4,1,2,1,1,3,2,3,39
34,1,1,1,4,1,1,1,1,4,1,2,1,1,3,2,2,2,4,1,1,4,39
35,3,1,2,3,1,1,2,2,2,2,2,1,3,2,1,2,1,2,2,1,3,39
36,1,3,3,4,3,1,4,4,3,2,4,4,4,3,4,3,2,3,2,3,4,64
37,1,2,1,4,1,2,1,3,3,3,2,3,2,2,1,3,2,1,3,1,3,44
38,2,3,2,3,2,1,3,2,2,2,3,3,3,4,2,2,1,1,2,2,3,48
39,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,25
40,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,25
41,1,1,1,2,1,1,2,3,4,1,4,1,4,3,2,3,2,2,2,1,4,45
42,2,2,2,2,1,2,2,2,2,1,1,2,1,3,2,3,1,1,1,2,4,39
43,2,1,1,1,1,3,1,2,2,1,3,2,3,3,1,2,3,1,1,1,3,38
44,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,2,1,1,27
45,1,2,1,2,1,2,1,3,2,1,3,1,3,4,2,4,2,1,3,1,3,43
46,2,1,1,2,1,3,1,1,1,1,1,2,3,2,2,2,2,2,2,2,1,35
47,1,3,2,4,1,2,3,4,3,4,3,2,4,3,3,3,1,3,4,2,2,57
48,1,2,1,3,2,1,3,3,2,1,3,2,3,3,3,4,2,3,4,1,4,51
49,1,2,1,1,1,1,1,2,3,1,2,3,1,2,1,1,1,1,1,1,4,32
50,1,3,1,2,4,1,3,4,2,1,3,2,4,3,2,1,2,3,2,1,4,49
51,2,2,3,2,2,2,2,3,3,2,3,2,4,3,3,3,3,1,3,2,4,54
52,1,3,1,1,1,1,2,4,2,2,3,2,2,1,1,2,3,2,2,1,4,41
53,1,2,4,4,2,1,3,3,3,1,2,3,2,2,4,4,2,2,4,3,3,55
54,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,25
55,1,1,2,1,1,1,1,3,1,1,4,1,4,3,1,4,2,1,1,1,4,39
56,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,26
57,3,3,1,2,2,3,1,1,2,3,2,2,1,3,2,2,2,1,1,3,4,44
58,4,4,3,4,4,2,4,4,4,4,2,1,4,4,4,1,4,3,4,4,4,72
59,1,1,2,2,2,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,3,34
60,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,27
61,2,1,1,3,2,2,3,1,2,1,2,2,4,2,2,2,2,2,3,2,2,43
62,2,3,2,3,2,2,2,4,3,2,3,1,3,2,2,4,2,2,4,2,3,53
63,1,1,1,1,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,3,27
64,1,1,1,3,1,1,1,1,2,1,3,4,1,1,1,3,4,1,1,2,4,38
65,1,3,1,2,1,1,2,2,2,2,3,1,3,2,2,2,1,2,2,2,4,41
66,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
67,1,2,2,3,1,1,3,3,1,1,2,2,3,1,3,2,3,2,4,3,4,47
68,4,2,3,3,3,3,3,3,4,4,4,3,3,2,3,4,4,2,4,2,4,67
69,1,1,1,2,2,1,2,1,3,1,2,3,1,3,2,2,2,1,2,1,2,36
70,1,1,1,2,1,3,3,1,2,1,2,1,2,3,2,3,3,2,4,1,2,41
71,2,1,1,3,2,2,1,4,2,1,2,1,3,1,1,1,1,1,3,1,3,37
72,4,3,4,4,2,4,4,4,4,2,4,4,4,4,3,3,3,4,4,4,4,76
73,1,1,1,1,1,1,2,2,3,1,2,1,2,2,2,2,2,2,1,2,3,35
74,1,4,4,3,2,3,4,1,3,1,2,2,4,2,4,4,1,3,3,4,4,59
75,4,4,4,4,3,4,3,4,4,4,2,3,3,2,4,3,2,4,4,4,4,73
76,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
77,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,3,26
78,1,1,2,4,2,3,1,4,4,1,4,4,4,4,3,3,1,1,4,3,4,58
79,3,2,3,3,3,4,3,2,3,1,2,3,2,1,4,2,3,3,3,3,3,56
80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,26
81,1,1,2,2,2,1,2,2,4,1,2,1,2,4,3,4,2,2,3,1,4,46
82,2,3,2,2,2,1,2,1,3,1,2,4,2,2,4,2,2,3,3,2,4,49
83,2,1,1,2,1,1,2,1,2,1,2,2,1,4,2,1,2,1,4,2,3,38
84,2,2,2,2,2,2,2,4,3,1,4,3,3,3,2,4,2,2,2,2,4,53
85,4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,3,4,3,3,69
86,1,1,1,3,1,1,1,4,3,1,2,1,3,4,2,2,3,3,4,1,4,46
87,2,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,78
88,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,81
89,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,24
90,2,3,2,3,3,3,3,2,2,2,2,3,2,2,3,3,3,2,4,2,4,55
91,4,1,1,1,2,1,1,4,4,1,2,1,1,2,1,1,1,1,1,3,2,36
92,1,1,1,1,1,3,1,1,4,1,1,2,2,2,1,1,4,1,2,1,4,36
93,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,82
94,4,1,1,2,4,1,2,4,1,1,3,1,1,1,1,2,3,2,3,1,3,42
95,4,2,3,3,3,2,1,3,4,2,3,3,3,2,2,3,4,1,1,2,4,55
96,1,2,2,4,2,2,2,2,3,1,3,3,4,2,3,2,2,1,3,4,4,52
97,1,1,1,3,1,1,1,3,1,1,3,1,4,2,1,4,1,2,1,1,4,38
98,1,1,1,2,1,1,2,3,1,1,2,1,4,2,1,1,1,2,1,1,4,34
99,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,24
100,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,25
101,1,2,2,1,1,2,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,28
102,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,25
103,1,1,1,1,1,1,1,3,3,1,4,1,3,3,1,2,1,2,1,1,4,37
104,1,1,1,1,1,1,1,1,4,1,1,2,1,4,2,4,1,1,1,1,4,35
105,1,1,1,2,1,3,1,2,2,4,1,2,2,1,2,1,1,2,1,2,4,37
106,1,1,1,2,3,2,1,1,1,1,2,2,3,2,3,2,1,3,2,1,4,39
107,2,1,1,2,1,1,2,3,2,1,2,2,4,4,3,4,3,2,1,2,3,46
108,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
109,1,1,1,2,1,1,1,3,3,1,4,1,3,1,3,1,1,4,1,1,3,38
110,2,1,1,2,1,1,2,4,1,1,3,1,3,3,4,1,1,1,1,2,4,40
111,1,3,2,4,4,2,3,4,3,1,2,2,4,3,2,3,1,4,2,3,4,57
112,3,4,4,3,3,3,4,4,4,1,4,4,3,2,4,1,3,2,3,4,4,67
113,1,1,1,1,3,2,1,2,1,2,4,2,3,2,2,3,3,2,1,1,3,41
114,1,3,1,4,2,2,2,1,1,1,2,2,1,3,1,3,3,1,3,2,2,41
115,2,2,1,3,1,2,1,2,3,2,2,1,2,3,3,2,3,2,3,3,3,46
116,1,4,1,1,1,1,2,2,2,1,1,3,2,3,2,2,1,1,1,1,2,35
117,3,1,1,1,1,1,2,2,2,3,4,1,4,3,1,2,3,2,3,1,4,45
118,3,1,3,1,2,2,1,1,3,1,1,4,4,4,2,3,1,1,1,4,2,45
119,3,2,3,3,2,2,2,4,2,2,3,3,3,3,2,2,3,2,2,2,4,54
120,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,2,4,4,2,3,76
121,2,1,1,2,1,1,2,4,1,2,2,1,4,1,2,2,4,2,2,2,3,42
122,2,1,2,4,2,2,2,4,2,2,4,3,4,2,2,2,4,1,2,2,4,53
123,4,3,1,4,2,3,2,4,4,2,3,4,2,3,2,4,4,2,3,1,4,61
124,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,25
125,3,2,3,2,4,3,1,4,3,2,3,3,4,3,3,2,2,2,4,2,3,58
126,1,2,2,2,1,1,2,2,2,1,4,1,4,2,2,2,2,2,1,1,4,41
127,1,1,1,1,1,1,1,1,2,1,2,1,3,3,2,2,1,1,1,1,2,30
128,1,1,1,2,2,1,1,4,2,1,4,2,4,3,2,3,3,1,2,3,3,46
129,1,1,1,3,2,1,2,3,2,1,3,2,3,2,2,1,1,1,3,1,4,40
130,1,1,2,3,3,2,3,4,2,1,3,2,4,2,3,3,2,1,4,1,4,51
131,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,26
132,1,1,3,2,1,1,1,1,3,1,1,2,1,2,1,3,2,2,3,2,3,37
133,1,1,1,3,1,1,3,3,3,1,3,1,3,3,3,3,2,2,3,1,3,45
134,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,24
135,1,3,2,4,1,2,1,4,2,1,1,2,4,1,2,1,1,2,2,2,3,42
136,1,1,1,2,1,1,1,3,3,1,4,1,3,2,2,3,1,1,1,2,3,38
137,2,2,4,3,4,2,4,4,4,1,1,2,4,2,4,4,3,4,3,4,3,64
138,1,1,2,1,2,2,1,3,2,1,2,2,3,1,2,2,1,2,1,1,3,36
139,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,26
140,4,4,2,4,1,4,4,4,4,1,4,4,3,4,4,4,3,4,3,1,4,70
141,1,3,3,4,4,4,2,4,2,3,4,4,4,4,2,1,1,2,4,2,4,62
142,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,3,1,2,2,1,2,31
143,1,1,1,4,1,3,4,1,1,1,1,4,2,3,1,4,2,3,3,1,4,46
144,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,24
145,1,4,1,4,2,1,3,1,3,1,1,2,3,4,3,3,4,3,4,2,2,52
146,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,3,33
147,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,83
148,1,2,2,3,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,37
149,1,1,1,4,1,1,1,1,1,1,2,1,3,1,1,2,3,1,2,1,3,33
150,1,1,1,3,2,1,2,1,3,1,1,1,3,4,1,2,2,1,3,1,3,38
151,2,2,1,2,1,2,3,2,2,3,2,2,1,1,3,3,3,2,2,1,2,42
152,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,3,2,2,2,1,3,35
153,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,80
154,4,1,3,4,2,4,1,3,1,1,1,4,3,3,2,2,2,1,4,1,1,48
155,3,1,2,2,4,2,1,3,2,1,2,1,2,2,2,2,4,1,3,4,2,46
156,2,2,1,2,1,1,1,1,1,1,2,3,1,2,1,1,1,2,3,1,1,31
157,1,1,1,1,1,1,2,1,2,1,2,1,3,3,2,2,2,1,2,2,2,34
158,2,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,79
159,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,26
160,1,1,1,3,2,1,1,2,1,4,2,2,2,1,2,1,1,1,3,2,3,37
161,1,1,2,3,3,2,3,3,3,1,3,2,3,2,2,3,3,3,2,2,2,49
162,4,1,1,2,1,1,2,2,3,2,2,2,3,2,1,2,1,1,1,1,3,38
163,4,2,2,1,1,4,1,2,4,1,2,2,4,4,2,3,2,1,2,1,3,48
164,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
165,4,3,2,3,2,3,1,2,2,1,1,2,2,4,4,4,2,3,4,2,3,54
166,1,1,1,3,2,1,1,1,2,1,2,1,3,3,2,2,1,1,3,1,3,36
167,3,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,76
168,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,24
169,1,1,2,2,1,1,3,1,3,1,4,1,3,3,3,3,2,2,4,1,3,45
170,4,4,4,4,2,4,1,4,1,4,4,4,4,2,3,2,1,1,3,4,4,64
171,1,1,2,3,1,1,3,3,3,1,3,2,2,1,3,2,3,2,3,2,2,44
172,2,2,1,3,2,2,4,3,4,1,3,3,3,4,1,3,2,1,2,2,4,52
173,1,1,1,2,1,1,2,3,2,1,3,1,2,2,2,2,3,1,4,1,3,39
174,3,1,1,1,1,3,2,2,3,1,2,1,2,3,3,2,1,1,1,1,2,37
175,2,4,2,3,2,1,2,2,4,4,4,4,4,4,4,3,3,3,4,2,4,65
176,4,2,2,3,2,1,2,2,3,1,3,1,1,3,2,2,1,2,2,3,2,44
177,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,25
178,2,1,1,4,1,1,4,3,2,2,3,3,4,3,2,3,2,4,4,2,3,54
179,1,1,1,4,1,2,4,2,3,1,3,2,2,2,2,3,2,3,3,1,3,46
180,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,27
181,3,1,1,1,1,2,1,3,2,1,2,2,1,2,1,2,2,1,2,1,4,36
182,3,4,3,3,1,3,1,4,3,1,3,4,4,2,4,3,4,1,4,3,3,61
183,4,1,1,4,4,2,3,4,3,1,4,2,4,3,1,2,2,4,4,2,4,59
184,2,1,2,2,2,1,2,1,2,1,1,2,2,1,2,2,3,1,1,1,3,35
185,2,2,1,4,1,2,4,1,3,3,2,3,2,3,3,3,4,3,4,1,2,53
186,2,1,2,2,1,2,2,2,2,1,2,1,4,2,3,3,1,1,3,4,3,44
187,2,1,2,2,1,3,1,1,3,1,2,2,2,3,2,3,1,1,2,1,3,39
188,4,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,81
189,1,1,3,1,1,1,1,2,3,1,1,2,3,4,1,3,1,2,1,1,2,36
190,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,84
191,4,3,4,4,2,4,4,4,4,2,2,3,4,4,3,4,4,4,4,3,4,74
192,3,2,2,1,2,1,4,4,4,2,4,4,4,4,2,4,4,1,2,3,4,61
193,1,1,1,2,1,1,1,4,4,1,4,4,4,4,1,4,1,1,1,2,4,47
194,4,4,4,4,2,2,2,2,3,2,2,4,3,2,4,3,2,2,4,4,2,61
195,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,1,30
196,2,3,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,39
197,2,1,2,3,2,2,2,1,3,1,1,3,2,1,1,2,2,2,2,1,3,39
198,4,1,4,2,2,4,2,3,4,2,3,3,4,3,3,3,2,2,4,1,4,60
199,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,81
200,4,1,1,4,2,1,4,3,4,1,3,2,3,4,2,4,2,2,4,1,3,55
201,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,24
202,4,4,4,4,2,4,4,4,4,2,4,4,4,4,2,4,4,4,4,3,4,77
203,1,1,1,2,2,1,1,4,2,1,2,1,4,3,1,3,1,1,1,1,2,36
204,1,2,1,2,1,1,1,1,2,1,3,2,3,2,3,1,1,1,1,1,4,35
205,2,1,2,4,2,2,3,1,3,1,1,3,2,3,4,3,3,1,3,3,3,50
206,2,2,2,2,1,2,3,4,3,1,3,2,3,3,3,2,2,2,3,1,3,49
207,3,1,1,3,1,2,2,2,2,1,1,1,1,2,1,2,1,1,3,2,2,35
208,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,3,1,1,25
209,2,1,1,2,1,3,1,1,1,1,2,1,2,1,1,2,3,1,1,1,1,30
210,3,1,2,4,1,4,2,2,4,1,3,2,2,3,1,1,2,2,2,3,4,49
211,1,1,1,1,1,1,1,2,4,1,2,2,3,4,2,3,1,1,1,1,2,36
212,1,1,1,3,1,3,2,1,4,1,1,3,2,2,2,2,1,2,2,4,4,43
213,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,27
214,1,1,1,2,2,1,2,2,2,1,2,1,3,2,1,2,2,2,2,2,2,36
215,1,2,2,1,2,2,4,2,4,1,4,4,3,3,2,4,2,2,4,2,4,55
216,1,2,1,3,1,2,1,3,3,1,2,2,3,4,3,4,1,1,1,1,3,43
217,2,2,2,2,1,2,1,3,3,1,3,2,2,3,1,2,2,1,1,2,3,41
218,1,1,1,1,2,1,1,1,2,1,1,1,2,4,1,2,1,1,2,1,2,30
219,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,36
220,2,1,2,4,2,3,2,4,2,1,2,3,4,1,3,3,3,2,2,3,4,53
221,3,2,2,3,3,3,3,4,3,1,4,3,4,4,3,3,3,2,2,3,3,61
222,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,1,4,1,4,4,72
223,3,2,2,3,1,2,3,2,2,2,2,3,3,2,3,2,3,3,3,1,2,49
224,2,1,2,3,4,1,2,4,3,1,3,1,4,4,1,4,1,1,2,2,1,47
225,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,83
226,3,2,2,4,2,3,3,4,4,2,4,2,4,4,3,4,4,3,4,2,3,66
227,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,24
228,2,1,1,2,1,1,1,1,1,1,3,1,2,3,1,3,1,1,1,1,4,33
229,1,2,1,2,2,1,2,4,3,1,3,2,4,3,2,2,2,1,2,1,4,45
230,3,2,3,3,3,1,2,1,2,3,3,1,2,2,2,4,2,2,2,3,2,48
231,1,1,2,2,1,2,2,3,3,2,3,3,4,4,3,2,3,2,4,2,4,53
232,1,1,1,2,1,1,1,1,2,1,2,1,3,2,2,3,2,2,2,1,2,34
233,1,1,2,3,1,1,2,2,2,1,2,2,3,2,2,3,1,1,4,1,2,39
234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
235,1,1,1,3,1,1,2,4,1,1,4,1,2,1,2,1,3,2,3,1,2,38
236,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,1,1,2,1,3,30
237,1,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,3,58
238,1,1,1,2,1,1,2,1,2,1,2,1,2,2,1,2,2,1,2,1,3,32
239,3,2,3,4,4,4,3,4,3,2,4,4,4,4,3,4,4,2,2,3,4,70
240,1,2,1,4,1,4,3,4,3,1,4,2,3,4,3,4,3,4,3,1,4,59
241,3,2,2,2,2,2,3,4,4,3,4,3,4,1,3,3,3,2,2,3,4,59
242,2,2,2,1,1,1,1,1,4,1,3,2,3,4,1,4,1,1,1,2,3,41
243,3,1,3,4,2,1,2,1,1,2,1,1,1,3,3,1,1,3,1,1,4,40
244,1,3,3,4,1,4,4,4,2,2,2,3,4,3,2,2,1,3,3,4,4,59
245,1,1,1,3,1,1,1,2,2,1,3,3,1,1,1,2,2,3,1,1,2,34
246,3,4,2,3,3,2,2,3,3,2,3,3,2,4,3,3,3,2,2,2,4,58
247,2,1,1,3,1,1,1,3,4,1,1,3,2,1,3,2,2,1,4,1,3,41
248,4,1,1,3,1,3,2,1,2,2,1,2,1,3,2,2,2,3,4,1,2,43
249,4,1,1,3,1,4,1,3,2,1,2,1,3,3,3,3,3,1,4,1,3,48
250,2,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,78
251,2,1,1,2,2,1,2,2,1,3,1,1,2,3,1,1,2,1,1,1,2,33
252,3,2,2,4,3,3,3,4,2,2,4,2,3,2,2,3,3,2,3,3,4,59
253,3,2,2,1,2,1,1,3,2,2,2,3,2,2,2,1,4,2,2,3,2,44
254,3,2,1,2,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,2,1,30
255,3,3,4,3,4,3,3,4,3,3,2,3,4,4,4,4,3,4,4,4,3,72
256,2,2,2,3,2,2,3,3,3,2,3,3,3,4,3,3,3,3,2,2,3,56
257,2,1,2,2,2,2,2,4,2,2,3,1,3,2,2,3,2,3,2,2,4,48
258,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,23
259,1,1,1,3,1,2,3,2,2,1,2,1,1,2,2,2,3,2,1,2,2,37
260,1,2,2,3,1,3,4,2,2,2,1,4,3,2,3,2,1,3,4,3,1,49
261,1,1,3,4,1,2,4,3,3,3,2,2,2,4,4,2,2,4,4,2,1,54
262,3,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,78
263,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,2,27
264,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,39
265,2,1,2,3,2,2,3,1,3,1,2,1,2,2,3,3,4,4,3,2,4,50
266,1,1,2,3,2,2,2,1,2,1,4,3,2,1,1,2,3,2,3,1,4,43
267,1,1,1,4,2,2,3,2,3,1,1,1,3,4,2,2,3,3,4,1,3,47
268,1,2,1,3,2,3,2,2,2,2,4,3,1,3,2,4,3,2,2,4,4,52
269,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,25
270,1,2,1,3,1,3,3,3,2,1,3,3,3,3,3,3,3,3,2,3,2,51
271,2,1,1,4,3,1,3,3,2,2,3,3,3,2,2,2,3,2,4,1,4,51
272,3,4,2,4,3,2,4,4,2,4,3,4,4,4,3,3,4,3,3,2,4,69
273,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,24
274,3,1,1,3,2,3,1,4,3,1,3,3,2,4,2,3,4,1,4,1,4,53
275,3,3,2,3,1,2,2,1,4,2,3,3,4,4,4,4,3,2,2,2,4,58
276,2,1,2,3,1,1,3,2,2,1,3,3,3,4,3,4,3,1,3,3,3,51
277,2,1,2,3,1,4,3,1,2,1,3,2,2,3,2,2,2,2,1,2,4,45
278,1,3,2,2,1,1,2,3,2,1,2,1,2,2,1,4,2,3,2,2,3,42
279,2,2,1,2,1,3,2,1,1,2,3,1,1,3,2,2,1,2,1,2,3,38
280,2,1,1,3,1,1,2,4,2,1,2,1,2,3,1,2,2,1,4,1,2,39
281,3,2,1,4,1,4,2,1,3,3,1,3,2,3,3,2,2,2,3,2,2,49
282,1,3,2,4,4,1,4,4,3,3,4,1,4,2,2,2,2,4,4,2,4,60
283,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,27
284,1,1,1,2,1,4,1,1,2,1,2,1,1,1,1,1,2,1,3,4,3,35
285,1,1,1,2,2,1,1,2,2,1,3,1,1,2,1,2,3,1,4,1,2,35
286,4,4,2,3,2,2,1,4,4,3,3,3,1,4,2,4,3,1,3,2,2,57
287,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,24
288,3,2,3,2,4,2,2,3,2,1,4,2,3,4,3,4,1,1,3,2,3,54
289,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,83
290,1,4,2,2,2,3,3,1,4,1,2,3,2,4,3,1,3,3,3,2,4,53
291,1,1,1,1,3,1,3,2,3,1,3,2,3,1,1,1,1,3,1,1,3,37
292,3,3,4,3,3,3,4,2,3,2,3,2,3,3,3,4,3,3,4,3,3,64
293,1,1,1,2,1,1,1,2,1,1,3,1,2,1,1,1,2,1,1,1,2,28
294,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,28
295,2,4,4,2,1,1,2,2,2,1,3,4,2,3,2,3,2,1,2,3,2,48
296,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,84
297,2,3,3,2,2,1,3,3,3,1,3,4,2,2,2,3,3,3,2,2,3,52
298,2,2,1,2,1,1,2,2,3,1,2,1,2,2,2,2,3,2,2,1,2,38
299,3,1,4,3,4,1,4,1,2,3,2,1,4,2,1,4,2,3,2,2,3,52
300,4,2,4,4,4,4,4,4,4,1,4,1,4,4,4,3,4,4,4,4,4,75
