,Q2A,Q4A,Q7A,Q9A,Q15A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q36A,Q40A,Q41A,Q42A,scores
37143,4,3,3,4,2,3,4,4,4,2,4,3,4,4,4,4,4,4,4,3,4,75
37144,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,3,2,2,3,1,2,40
37145,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,25
37146,3,1,1,1,1,1,1,1,2,1,2,2,1,4,1,4,1,1,1,1,1,32
37147,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,26
37148,1,1,2,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,2,2,1,31
37149,2,2,2,1,3,3,3,4,1,3,2,3,4,2,4,1,1,1,1,3,2,48
37150,1,4,2,4,1,3,3,4,4,2,4,3,4,4,4,4,3,4,4,2,4,68
37151,1,2,2,2,2,3,1,3,2,1,3,1,2,2,2,2,2,2,2,2,2,41
37152,4,1,1,4,1,1,1,3,3,1,1,1,4,3,2,3,1,2,4,1,4,46
37153,1,3,1,1,2,1,2,1,2,1,2,1,1,3,1,1,3,3,3,1,3,37
37154,4,2,4,4,4,1,4,4,4,2,4,3,4,4,1,4,4,4,3,2,1,67
37155,4,4,3,4,3,4,4,3,3,4,3,4,4,4,3,4,4,3,3,3,3,74
37156,1,2,4,3,3,4,2,4,4,3,4,4,4,4,2,4,4,4,4,3,2,69
37157,4,4,3,1,1,3,4,1,2,2,1,3,2,1,3,3,1,2,2,2,4,49
37158,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,23
37159,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,26
37160,4,2,2,3,1,4,4,4,3,2,4,2,4,4,3,4,3,4,4,4,4,69
37161,4,2,1,2,1,1,2,4,1,1,4,2,3,3,1,2,2,1,4,2,3,46
37162,3,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,27
37163,3,2,2,3,4,2,3,4,4,1,3,3,3,4,4,4,3,2,3,2,4,63
37164,1,1,2,1,1,1,3,1,2,1,1,2,1,3,2,2,1,1,2,1,2,32
37165,1,1,3,1,2,1,1,3,1,1,2,1,3,2,2,1,1,2,2,1,3,35
37166,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
37167,2,3,1,4,2,2,2,2,4,2,2,2,2,3,1,4,4,4,4,2,4,56
37168,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,24
37169,4,1,1,2,3,1,1,2,2,1,3,1,2,1,1,1,3,1,4,1,4,40
37170,4,3,2,3,3,2,3,3,3,1,2,3,3,4,4,4,2,3,4,1,3,60
37171,2,1,1,3,2,3,1,4,2,1,4,2,3,3,1,3,3,1,3,1,3,47
37172,1,2,1,3,2,1,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,35
37173,2,2,2,3,1,2,3,1,2,2,1,3,2,3,3,2,2,2,3,2,1,44
37174,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,26
37175,3,3,2,2,2,2,1,1,1,1,1,3,2,3,2,2,3,2,3,2,2,43
37176,1,2,2,2,4,2,4,4,4,2,4,2,4,4,4,4,4,4,4,2,4,67
37177,4,1,1,3,1,1,1,1,1,1,2,2,1,2,1,1,1,1,4,1,1,32
37178,4,4,2,4,3,4,3,4,4,2,3,4,4,4,3,4,4,4,4,3,4,75
37179,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,24
37180,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,23
37181,1,4,2,4,1,1,3,2,3,1,2,4,3,2,4,1,4,3,4,4,4,57
37182,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,29
37183,4,4,4,4,2,1,3,4,3,2,2,4,4,2,3,4,4,3,4,4,3,68
37184,1,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,3,30
37185,2,4,2,4,2,1,2,1,2,2,1,1,1,4,3,1,2,1,2,1,1,40
37186,3,3,4,2,3,2,3,4,4,3,4,2,4,4,4,4,3,3,4,4,4,71
37187,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,26
37188,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,26
37189,3,1,1,2,1,3,3,1,1,1,1,1,2,2,1,1,1,1,2,2,2,33
37190,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,25
37191,2,2,4,4,1,4,4,4,2,1,2,2,4,4,4,4,4,2,4,4,4,66
37192,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,25
37193,4,2,2,4,3,3,3,4,2,2,3,3,3,4,2,3,3,2,4,3,3,62
