,Q1A,Q6A,Q8A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,scores
70,3,3,2,1,3,3,2,1,1,1,1,4,3,2,3,3,4,4,3,4,51
71,1,1,3,4,1,1,3,2,2,3,4,1,2,2,1,1,1,2,1,2,38
72,3,2,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,74
73,2,2,2,2,2,3,2,2,1,3,2,2,1,3,2,2,3,3,1,3,43
74,2,3,4,1,3,4,4,2,2,2,1,1,3,3,2,4,2,4,2,3,52
75,3,4,4,2,3,3,4,2,3,3,4,2,4,4,2,3,4,3,2,2,61
76,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,23
77,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,30
78,3,4,4,4,4,4,4,4,2,3,4,4,3,4,4,3,3,4,3,4,72
79,2,4,3,3,3,4,3,1,3,2,2,1,4,3,1,2,2,3,1,3,50
80,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,25
81,4,4,4,1,3,4,2,2,2,2,3,4,1,4,4,4,1,2,2,3,56
82,4,2,2,1,2,3,3,4,2,2,1,2,1,3,2,2,3,2,2,4,47
83,3,2,2,2,3,3,1,4,1,3,2,3,1,2,4,1,4,3,4,4,52
84,1,1,2,3,2,3,4,3,2,3,3,2,2,3,3,4,2,1,2,3,49
85,4,4,4,2,4,4,4,4,3,2,3,4,3,4,3,4,3,4,3,4,70
86,2,2,2,3,3,3,3,2,1,4,4,2,1,3,4,2,3,3,2,3,52
87,3,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,3,4,75
88,3,4,4,4,4,3,4,1,4,4,4,4,3,4,4,4,4,3,4,4,73
89,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,3,1,26
90,2,2,3,2,3,2,3,3,3,2,2,3,3,2,2,3,2,3,2,2,49
91,2,1,1,2,1,1,1,2,2,3,1,3,1,4,2,1,1,3,1,3,36
92,2,1,4,1,2,3,2,2,1,1,1,2,3,4,2,1,2,4,2,4,44
93,3,3,4,4,4,4,4,4,4,4,3,2,3,4,4,4,3,4,3,3,71
94,1,1,1,3,1,1,4,2,4,4,3,1,1,1,1,2,3,1,2,1,38
95,3,2,4,3,3,2,4,4,3,2,4,4,2,4,2,3,3,2,3,2,59
